"Name","Team","ISO","BABIP","GB/FB","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","EV","LA","Barrel%","HardHit%","WAR","playerid"
"Christian Yelich","Brewers",".225",".259","1.70",".343","112","20.3%","60.1%","34.6%","45.5%","81.9%","68.2%","11.0%","38.7%","33.1%","28.2%","8.1%","50.8%","41.1%","94.0","7.1","12.1%","55.6%","0.7","11477"
"Pete Alonso","Mets",".260",".242","0.89",".342","119","33.4%","66.7%","46.1%","54.2%","85.6%","71.5%","13.1%","43.2%","31.8%","25.0%","16.9%","51.4%","31.8%","90.2","15.5","12.8%","40.5%","0.4","19251"
"Kevin Pillar","- - -",".173",".335","1.17",".341","106","41.1%","66.4%","51.9%","63.1%","86.4%","75.8%","12.5%","38.9%","37.1%","24.0%","16.2%","47.3%","36.5%","87.1","13.4","5.4%","36.5%","1.1","12434"
"Franmil Reyes","Indians",".175",".355","1.51",".341","112","31.1%","69.7%","46.0%","48.7%","74.7%","63.9%","16.6%","38.1%","36.1%","25.9%","14.3%","49.0%","36.7%","92.4","11.2","12.9%","44.9%","0.6","14566"
"Colin Moran","Pirates",".225",".291","1.97",".340","114","38.7%","68.5%","49.7%","63.6%","85.8%","74.9%","12.5%","44.1%","31.5%","24.4%","9.4%","50.4%","40.2%","91.9","8.3","13.4%","47.2%","0.5","16909"
"Charlie Blackmon","Rockies",".145",".347","1.03",".340","97","33.7%","70.7%","49.9%","65.1%","87.5%","79.0%","10.5%","39.6%","33.5%","26.9%","14.8%","54.4%","30.8%","86.9","13.5","4.9%","29.7%","0.8","7859"
"Jonathan Schoop","Tigers",".198",".316","1.68",".340","114","42.3%","77.1%","56.4%","58.6%","86.7%","74.1%","14.6%","48.8%","28.0%","23.2%","21.6%","54.4%","24.0%","87.2","8.7","5.6%","33.3%","1.4","11265"
"Mike Moustakas","Reds",".237",".247","0.83",".340","109","31.4%","71.6%","47.7%","64.2%","88.0%","78.7%","10.2%","38.1%","41.0%","21.0%","18.1%","43.8%","38.1%","88.8","16.3","9.5%","39.0%","0.7","4892"
"J.D. Davis","Mets",".142",".318","2.38",".339","117","26.3%","69.6%","44.9%","52.4%","82.0%","72.1%","12.5%","31.9%","42.2%","25.9%","16.3%","48.9%","34.8%","90.1","3.3","8.9%","45.2%","0.5","16219"
"Christian Walker","Diamondbacks",".188",".317","1.26",".339","110","35.5%","75.2%","51.8%","60.7%","83.8%","74.5%","13.2%","42.7%","32.2%","25.1%","14.0%","41.5%","44.4%","90.4","11.5","6.4%","48.5%","0.8","13419"
"Yasmani Grandal","White Sox",".193",".299","0.88",".338","117","23.2%","50.6%","33.8%","52.5%","84.0%","70.8%","9.9%","41.0%","32.4%","26.7%","13.3%","44.8%","41.9%","90.3","15.6","7.6%","42.9%","1.7","11368"
"Raimel Tapia","Rockies",".082",".392","2.59",".338","96","32.3%","73.4%","50.2%","72.1%","89.9%","83.4%","8.3%","19.3%","39.3%","41.3%","18.0%","50.7%","31.3%","85.3","1.8","2.0%","29.6%","0.7","14350"
"Vladimir Guerrero Jr.","Blue Jays",".199",".282","1.96",".338","115","27.4%","77.4%","47.9%","61.2%","84.0%","76.3%","11.4%","41.5%","35.0%","23.5%","14.2%","47.0%","38.8%","92.5","4.6","8.7%","50.8%","0.3","19611"
"Kyle Seager","Mariners",".192",".240","0.73",".338","118","23.9%","63.8%","40.3%","64.7%","88.1%","79.9%","8.1%","36.4%","40.9%","22.7%","14.8%","46.0%","39.2%","89.1","17.7","10.2%","39.8%","1.5","9785"
"Jon Berti","Marlins",".092",".354","2.00",".337","114","20.8%","53.8%","34.9%","67.1%","91.0%","82.8%","6.0%","36.0%","38.4%","25.6%","18.6%","58.1%","23.3%","86.6","7.2","3.5%","33.7%","0.9","12037"
"Cody Bellinger","Dodgers",".216",".245","0.93",".337","114","29.9%","72.1%","47.6%","71.4%","83.2%","78.9%","10.0%","45.6%","33.9%","20.5%","16.4%","45.6%","38.0%","89.3","16.6","9.4%","41.5%","1.2","15998"
"Harrison Bader","Cardinals",".217",".317","0.93",".337","113","30.0%","59.8%","42.0%","58.5%","88.8%","75.8%","10.2%","41.8%","32.8%","25.4%","23.9%","40.3%","35.8%","86.0","15.7","11.9%","35.8%","1.0","18030"
"Pat Valaika","Orioles",".199",".313","0.88",".337","112","34.4%","73.4%","50.1%","52.1%","86.9%","72.6%","13.7%","34.3%","38.0%","27.8%","14.8%","52.8%","32.4%","88.7","18.2","8.3%","34.3%","0.2","14885"
"Rafael Devers","Red Sox",".220",".325","1.32",".337","109","42.3%","75.1%","54.6%","65.0%","75.6%","70.5%","16.1%","37.6%","41.2%","21.2%","10.9%","47.9%","41.2%","93.0","10.6","12.1%","43.6%","0.5","17350"
"Willson Contreras","Cubs",".164",".307","1.43",".336","109","34.4%","68.4%","47.6%","51.4%","81.0%","68.0%","15.3%","38.8%","38.8%","22.4%","16.4%","47.8%","35.8%","89.8","9.1","10.4%","47.0%","1.6","11609"
"Chance Sisco","Orioles",".163",".321","0.81",".335","111","24.1%","71.8%","43.3%","46.8%","73.5%","64.7%","15.3%","49.1%","24.6%","26.3%","17.5%","42.1%","40.4%","88.8","20.0","12.3%","36.8%","0.0","15694"
"Cesar Hernandez","Indians",".124",".364","1.79",".335","108","25.7%","64.5%","42.4%","62.4%","92.0%","81.8%","7.7%","39.0%","33.3%","27.7%","13.0%","55.9%","31.1%","89.1","5.6","3.9%","37.1%","1.9","10556"
"Josh Harrison","Nationals",".139",".288","1.17",".335","106","41.1%","73.7%","54.0%","74.7%","82.7%","79.0%","11.3%","43.5%","34.8%","21.7%","24.6%","52.2%","23.2%","83.8","15.4","4.3%","23.2%","0.2","8202"
"Matt Chapman","Athletics",".303",".291","0.51",".335","116","26.9%","66.6%","44.7%","49.5%","74.4%","66.1%","15.2%","49.4%","29.2%","21.3%","20.2%","38.2%","41.6%","93.6","24.1","18.0%","51.7%","1.2","16505"
"Luis Arraez","Twins",".080",".353","1.40",".335","111","29.2%","68.0%","44.3%","87.9%","94.9%","92.1%","3.5%","24.5%","39.2%","36.3%","10.8%","60.8%","28.4%","87.5","12.1","3.9%","30.4%","0.7","18568"
"Jurickson Profar","Padres",".150",".293","1.45",".335","111","31.5%","67.3%","46.8%","72.2%","86.7%","81.1%","8.8%","36.1%","27.7%","36.1%","20.0%","51.0%","29.0%","87.2","11.0","3.2%","27.7%","1.3","10815"
"Joey Wendle","Rays",".149",".338","1.76",".335","116","39.3%","64.5%","49.6%","71.2%","94.4%","83.5%","8.2%","39.6%","35.1%","25.4%","17.9%","50.7%","31.3%","86.7","5.2","3.7%","32.1%","1.0","13853"
"Brandon Crawford","Giants",".209",".303","1.18",".334","112","35.6%","79.0%","54.5%","51.0%","83.3%","71.4%","15.6%","52.0%","37.0%","11.0%","15.7%","49.6%","34.6%","88.7","12.4","9.4%","39.4%","1.0","5343"
"Randal Grichuk","Blue Jays",".208",".299","1.13",".334","112","37.3%","72.6%","51.8%","70.2%","84.3%","78.3%","11.2%","45.6%","24.9%","29.6%","18.9%","46.2%","34.9%","88.9","12.6","11.2%","39.6%","0.6","10243"
"David Peralta","Diamondbacks",".133",".361","1.72",".333","107","30.6%","67.3%","46.6%","64.1%","88.4%","79.4%","9.6%","38.8%","35.0%","26.3%","16.9%","49.4%","33.8%","89.2","6.4","5.0%","36.3%","1.1","2136"
"Starling Marte","- - -",".149",".319","1.90",".333","109","38.0%","73.2%","51.9%","60.4%","89.0%","76.3%","12.3%","42.6%","31.4%","26.1%","11.7%","58.5%","29.8%","87.0","6.4","6.4%","29.3%","1.3","9241"
"Eddie Rosario","Twins",".219",".248","0.76",".333","110","42.6%","69.0%","51.7%","72.0%","87.8%","79.2%","10.7%","41.6%","33.7%","24.7%","21.3%","48.3%","30.3%","87.5","18.1","6.2%","35.4%","0.9","12155"
"Jean Segura","Phillies",".156",".314","1.43",".333","107","34.1%","64.4%","46.2%","68.6%","85.7%","78.1%","10.1%","32.4%","37.8%","29.7%","21.6%","46.6%","31.8%","88.0","11.6","6.1%","37.8%","1.0","5933"
"Nick Madrigal","White Sox",".029",".365","2.94",".332","113","30.9%","60.8%","43.6%","88.0%","95.5%","92.4%","3.3%","18.8%","50.0%","31.3%","20.8%","58.3%","20.8%","84.0","4.1","0.0%","20.8%","0.1","20521"
"Jorge Soler","Royals",".215",".317","0.97",".332","108","25.1%","58.7%","37.9%","47.8%","78.2%","65.7%","13.0%","51.1%","25.6%","23.3%","17.8%","40.0%","42.2%","92.5","15.5","18.5%","50.0%","0.6","14221"
"Brett Gardner","Yankees",".169",".264","0.89",".332","110","18.5%","61.1%","37.1%","58.8%","82.8%","76.0%","8.9%","30.2%","44.8%","25.0%","17.7%","49.0%","33.3%","89.2","15.0","5.2%","36.5%","0.6","9927"
"Eugenio Suarez","Reds",".268",".214","0.74",".332","104","26.9%","65.7%","41.6%","52.7%","82.7%","70.7%","12.2%","54.5%","27.3%","18.2%","16.7%","49.2%","34.1%","89.1","17.9","14.4%","43.9%","1.1","12552"
"Yan Gomes","Nationals",".183",".314","0.89",".332","104","37.0%","65.7%","49.6%","70.2%","84.6%","78.6%","10.6%","36.7%","38.9%","24.4%","14.4%","53.3%","32.2%","89.9","17.6","5.6%","36.7%","0.2","9627"
"Ryan McBroom","Royals",".259",".311","0.59",".330","107","33.8%","63.2%","45.5%","47.3%","80.2%","65.5%","15.7%","31.4%","37.3%","31.4%","15.7%","54.9%","29.4%","88.9","20.1","13.7%","31.4%","0.2","16524"
"Nicholas Castellanos","Reds",".261",".257","0.88",".329","102","38.2%","74.9%","51.8%","49.1%","84.0%","67.8%","16.7%","32.0%","46.7%","21.3%","10.0%","53.3%","36.7%","91.0","16.5","16.0%","46.0%","0.5","11737"
"Ozzie Albies","Braves",".195",".317","0.92",".329","103","35.7%","85.1%","58.2%","61.6%","84.9%","77.1%","13.3%","42.0%","38.6%","19.3%","17.0%","55.7%","27.3%","86.7","17.8","9.1%","28.4%","0.6","16556"
"Maikel Franco","Royals",".179",".298","1.28",".329","106","34.2%","74.0%","49.9%","62.6%","86.2%","76.4%","11.8%","45.0%","36.0%","19.0%","24.3%","42.9%","32.8%","86.7","8.5","5.8%","38.6%","1.3","12179"
"Whit Merrifield","Royals",".157",".295","0.99",".329","106","32.4%","72.2%","49.1%","77.5%","90.4%","85.5%","7.1%","29.2%","44.0%","26.9%","13.9%","63.0%","23.1%","86.1","15.8","5.1%","27.3%","1.4","11281"
"Max Kepler","Twins",".211",".236","0.71",".328","107","27.4%","68.8%","44.8%","59.0%","93.7%","81.4%","8.3%","44.1%","30.9%","25.0%","23.5%","44.1%","32.4%","88.5","21.9","5.1%","38.2%","1.0","12144"
"Andrew McCutchen","Phillies",".180",".281","0.80",".327","103","24.9%","61.2%","40.7%","66.4%","88.4%","80.8%","7.8%","46.5%","33.5%","20.0%","15.9%","44.1%","40.0%","89.6","18.6","8.2%","40.0%","-0.2","9847"
"Kurt Suzuki","Nationals",".126",".301","0.76",".326","101","31.3%","71.2%","48.8%","69.4%","91.4%","83.5%","8.1%","46.3%","33.7%","20.0%","20.0%","52.6%","27.4%","84.0","17.7","3.2%","23.2%","0.0","8259"
"Hunter Dozier","Royals",".165",".288","0.91",".326","104","27.4%","65.9%","41.9%","49.2%","85.6%","70.7%","12.3%","36.4%","35.5%","28.2%","21.8%","48.2%","30.0%","86.4","17.0","8.2%","30.9%","0.8","15117"
"Martin Maldonado","Astros",".163",".295","0.94",".326","110","26.2%","64.8%","42.5%","54.3%","84.7%","73.9%","11.1%","51.2%","34.9%","14.0%","15.1%","59.3%","25.6%","86.1","19.0","8.1%","26.7%","0.7","6887"
"Anthony Rizzo","Cubs",".192",".218","1.02",".326","103","33.3%","56.9%","42.4%","71.8%","92.6%","82.5%","7.4%","47.9%","32.3%","19.8%","16.8%","47.9%","35.3%","87.7","16.7","7.8%","34.7%","1.1","3473"
"Gleyber Torres","Yankees",".125",".286","1.07",".326","106","25.6%","68.1%","41.9%","63.2%","81.7%","74.7%","10.6%","38.9%","34.3%","26.9%","13.9%","55.6%","30.6%","88.6","14.9","3.7%","38.0%","0.2","16997"
"Jason Kipnis","Cubs",".167",".333","0.75",".326","102","28.0%","58.2%","39.5%","59.2%","90.1%","76.5%","9.3%","45.3%","29.3%","25.3%","13.3%","54.7%","32.0%","86.2","18.2","9.3%","30.7%","0.6","9776"
"Francisco Lindor","Indians",".157",".280","1.07",".324","100","34.3%","71.6%","48.6%","70.3%","88.9%","80.8%","9.3%","44.7%","30.5%","24.9%","9.6%","59.9%","30.5%","89.9","13.5","5.6%","41.1%","1.7","12916"
"Ronald Guzman","Rangers",".192",".300","1.93",".323","95","35.2%","76.7%","52.0%","59.4%","79.4%","71.3%","14.9%","46.3%","35.2%","18.5%","20.4%","46.3%","33.3%","86.3","6.0","7.4%","33.3%","0.1","14388"
"Josh Fuentes","Rockies",".133",".406","1.79",".323","86","40.4%","75.8%","55.4%","61.4%","86.9%","76.2%","13.2%","43.7%","28.2%","28.2%","16.9%","54.9%","28.2%","84.0","10.6","1.4%","23.9%","0.4","16885"
"Miguel Cabrera","Tigers",".167",".283","1.33",".323","103","32.3%","72.8%","47.6%","50.0%","85.3%","70.4%","14.1%","40.0%","34.2%","25.8%","12.3%","57.4%","30.3%","93.2","12.1","9.7%","49.7%","0.3","1744"
"Ryan Braun","Brewers",".256",".232","0.95",".322","99","42.0%","70.6%","51.8%","59.9%","89.2%","73.5%","13.7%","47.6%","35.0%","17.5%","18.4%","49.5%","32.0%","89.8","15.3","11.4%","40.0%","0.1","3410"
"Matt Kemp","Rockies",".179",".314","1.24",".322","85","32.1%","66.1%","43.9%","55.7%","77.6%","67.1%","14.4%","44.7%","32.9%","22.4%","17.1%","48.7%","34.2%","85.3","11.9","7.9%","28.9%","-0.1","5631"
"Andres Gimenez","Mets",".136",".318","1.33",".321","105","34.7%","72.5%","50.1%","63.1%","86.5%","76.9%","11.6%","50.5%","25.3%","24.2%","18.7%","59.3%","22.0%","86.8","13.5","3.3%","26.4%","0.8","19950"
"Asdrubal Cabrera","Nationals",".205",".260","1.16",".319","95","32.5%","66.6%","45.8%","67.9%","90.0%","80.5%","9.0%","47.4%","32.5%","20.1%","18.2%","44.8%","37.0%","89.4","13.8","6.5%","37.7%","0.0","4962"
"Nick Ahmed","Diamondbacks",".136",".324","1.77",".318","97","31.8%","72.3%","48.0%","67.3%","80.0%","74.9%","12.0%","56.2%","30.7%","13.1%","16.3%","55.6%","28.1%","87.7","9.4","5.2%","33.3%","1.2","12147"
"Mauricio Dubon","Giants",".115",".328","0.84",".318","101","36.5%","77.9%","53.8%","68.1%","82.4%","76.8%","12.5%","37.1%","33.1%","29.8%","16.1%","54.0%","29.8%","86.2","16.7","4.0%","30.4%","0.5","16530"
"Daniel Vogelbach","- - -",".183",".237","1.41",".317","98","20.3%","50.7%","33.7%","64.3%","86.9%","79.2%","7.0%","31.7%","40.2%","28.0%","13.4%","54.9%","31.7%","89.5","10.2","8.5%","40.2%","0.0","14130"
"Orlando Arcia","Brewers",".156",".292","1.48",".317","96","28.6%","71.0%","46.5%","69.8%","85.3%","79.8%","9.4%","37.3%","41.5%","21.1%","16.2%","47.2%","36.6%","89.0","9.6","5.6%","38.7%","0.7","13185"
"Miguel Sano","Twins",".274",".301","0.92",".317","99","31.0%","73.7%","47.3%","36.5%","75.4%","59.6%","19.1%","56.3%","26.0%","17.7%","10.4%","41.7%","47.9%","95.2","20.2","22.9%","57.3%","0.5","12164"
"Carlos Santana","Indians",".150",".212","1.08",".316","95","18.9%","62.6%","36.2%","68.8%","86.7%","81.0%","6.9%","46.3%","31.7%","22.0%","20.1%","45.7%","34.1%","88.0","12.2","6.7%","36.6%","0.3","2396"
"Max Muncy","Dodgers",".197",".203","1.05",".316","100","18.3%","62.5%","36.6%","54.2%","82.8%","74.4%","9.4%","45.5%","32.4%","22.1%","10.3%","48.3%","41.4%","88.5","14.2","12.4%","40.0%","0.4","13301"
"Ji-Man Choi","Rays",".180",".291","0.97",".316","103","26.7%","68.5%","44.4%","48.9%","83.1%","71.2%","12.8%","50.6%","30.3%","19.1%","19.1%","44.9%","36.0%","89.0","15.7","3.4%","39.3%","0.3","5452"
"Luis Robert","White Sox",".203",".300","0.88",".316","101","43.1%","82.2%","57.3%","47.1%","74.5%","61.4%","22.1%","35.1%","36.6%","28.2%","26.0%","44.3%","29.8%","87.9","16.7","12.8%","39.8%","1.5","20043"
"Matt Olson","Athletics",".229",".227","0.79",".316","103","23.5%","69.2%","42.5%","55.1%","74.3%","68.1%","13.6%","47.4%","33.1%","19.5%","12.8%","44.4%","42.9%","92.3","19.7","12.8%","45.9%","0.8","14344"
"Ketel Marte","Diamondbacks",".122",".311","1.40",".316","95","33.3%","60.8%","45.0%","79.7%","93.3%","87.5%","5.6%","39.9%","39.3%","20.9%","17.8%","49.7%","32.5%","89.2","10.0","3.7%","40.5%","0.4","13613"
"Ramon Laureano","Athletics",".153",".270","1.22",".315","102","27.0%","58.4%","40.2%","60.7%","88.6%","77.8%","8.9%","43.0%","32.0%","25.0%","17.2%","50.0%","32.8%","87.7","12.3","9.4%","34.4%","1.3","17128"
"Austin Hays","Orioles",".115",".316","1.55",".315","96","38.2%","61.4%","46.9%","71.1%","92.7%","81.7%","8.6%","44.4%","34.3%","21.2%","12.1%","68.7%","19.2%","86.9","11.0","4.0%","31.3%","0.6","19363"
"Taylor Ward","Angels",".106",".394","1.61",".314","100","27.6%","65.5%","44.5%","51.7%","92.1%","78.2%","9.7%","21.2%","47.0%","31.8%","9.1%","57.6%","33.3%","91.1","10.4","4.5%","47.0%","0.5","17548"
"Phil Gosselin","Phillies",".152",".323","1.14",".313","94","28.7%","58.8%","40.2%","71.6%","81.9%","77.4%","9.1%","30.8%","44.6%","24.6%","21.5%","47.7%","30.8%","85.7","15.3","6.2%","27.7%","-0.1","10953"
"Ben Gamel","Brewers",".167",".333","1.56",".313","93","26.8%","64.0%","42.3%","40.0%","92.7%","73.3%","11.3%","38.7%","36.0%","25.3%","16.0%","54.7%","29.3%","87.9","11.5","6.7%","32.0%","-0.2","12160"
"Cedric Mullins II","Orioles",".136",".350","1.25",".313","95","33.0%","68.1%","48.0%","70.2%","85.1%","79.2%","10.0%","43.0%","28.0%","29.0%","15.9%","62.6%","21.5%","88.6","15.6","2.8%","31.8%","0.6","17929"
"Andrelton Simmons","Angels",".059",".343","2.24",".313","99","31.8%","64.5%","46.7%","76.6%","90.8%","85.6%","6.7%","42.2%","35.3%","22.5%","21.6%","51.0%","27.5%","86.5","6.0","0.0%","30.4%","0.6","10847"
"Shin-Soo Choo","Rangers",".164",".284","1.57",".312","87","23.1%","62.3%","39.6%","57.1%","75.2%","69.1%","12.2%","36.7%","32.9%","30.4%","10.1%","54.4%","35.4%","90.0","11.4","10.1%","35.4%","-0.1","3174"
"Freddy Galvis","Reds",".184",".231","1.28",".312","91","28.0%","69.3%","45.0%","61.8%","82.4%","74.8%","11.3%","44.1%","35.1%","20.7%","20.7%","52.3%","27.0%","87.0","13.6","4.5%","27.9%","0.5","6609"
"Pedro Severino","Orioles",".138",".304","1.22",".312","94","32.5%","68.6%","45.9%","57.2%","87.8%","74.1%","11.9%","52.1%","31.4%","16.5%","22.3%","49.6%","28.1%","87.6","9.5","7.4%","31.4%","0.2","14523"
"Dexter Fowler","Cardinals",".156",".293","1.17",".310","95","25.1%","71.4%","45.2%","59.4%","75.7%","70.6%","13.3%","45.2%","38.7%","16.1%","21.0%","51.6%","27.4%","84.5","11.2","4.8%","27.4%","0.0","4062"
"Matt Joyce","Marlins",".079",".353","1.13",".310","96","28.6%","67.1%","43.4%","56.6%","76.8%","68.6%","13.6%","43.7%","37.9%","18.4%","17.2%","54.0%","28.7%","86.5","12.4","3.4%","31.0%","-0.3","3353"
"Travis Shaw","Blue Jays",".172",".306","0.65",".310","95","28.0%","70.5%","46.7%","63.1%","79.5%","74.0%","12.1%","40.4%","32.5%","27.2%","13.2%","57.9%","28.9%","90.9","19.8","7.9%","44.7%","0.2","11982"
"Jacob Stallings","Pirates",".128",".337","1.00",".309","93","23.9%","61.4%","38.5%","54.4%","88.5%","75.6%","9.4%","37.5%","31.8%","30.7%","11.4%","58.0%","30.7%","88.6","12.5","4.5%","37.5%","1.1","13723"
"Yoan Moncada","White Sox",".160",".315","1.08",".309","97","29.0%","65.4%","42.7%","53.1%","86.8%","72.6%","11.7%","41.5%","30.8%","27.7%","16.9%","50.8%","32.3%","87.8","13.9","6.2%","33.1%","1.6","17232"
"David Bote","Cubs",".208",".228","1.48",".309","92","22.9%","61.0%","39.1%","55.7%","81.9%","73.1%","10.5%","33.7%","40.7%","25.6%","15.1%","48.8%","36.0%","92.4","9.3","10.5%","52.3%","0.4","14593"
"Yoshitomo Tsutsugo","Rays",".197",".230","0.88",".309","98","20.9%","65.8%","39.7%","70.9%","83.7%","79.8%","8.0%","34.3%","37.0%","28.7%","18.5%","50.0%","31.5%","90.2","17.2","9.3%","47.2%","0.3","27459"
"Corey Dickerson","Marlins",".144",".283","1.54",".308","95","36.5%","74.3%","53.3%","70.9%","79.9%","76.5%","12.5%","31.4%","34.0%","34.6%","17.0%","52.2%","30.8%","85.5","11.7","5.6%","28.1%","0.0","10762"
"Carlos Correa","Astros",".119",".324","1.69",".308","97","33.9%","68.5%","47.0%","67.4%","88.8%","79.2%","9.8%","49.0%","30.1%","20.9%","17.0%","47.1%","35.9%","88.6","11.4","5.9%","41.8%","0.9","14162"
"Nolan Arenado","Rockies",".181",".241","0.79",".308","76","35.1%","67.0%","48.2%","71.8%","93.6%","84.2%","7.6%","42.2%","35.5%","22.3%","21.7%","44.0%","34.3%","87.8","19.1","5.4%","33.7%","1.0","9777"
"Evan Longoria","Giants",".171",".280","1.56",".308","94","29.7%","65.0%","45.0%","62.7%","90.6%","80.1%","8.9%","45.2%","33.1%","21.7%","11.5%","50.3%","38.2%","91.7","10.7","11.5%","45.2%","0.8","9368"
"Ryan McMahon","Rockies",".203",".286","1.46",".308","76","29.2%","70.2%","46.8%","48.6%","79.9%","68.8%","14.6%","40.2%","30.8%","29.0%","11.2%","48.6%","40.2%","90.1","9.2","11.2%","43.0%","0.1","15112"
"Tony Kemp","Athletics",".054",".284","1.00",".307","97","24.2%","69.2%","43.1%","75.4%","91.6%","86.4%","5.9%","39.0%","34.1%","26.8%","13.4%","59.8%","26.8%","85.8","18.8","1.2%","15.9%","0.5","14894"
"Isiah Kiner-Falefa","Rangers",".090",".316","2.85",".307","84","30.2%","66.7%","47.4%","72.4%","93.3%","86.3%","6.5%","35.6%","37.8%","26.7%","17.2%","53.3%","29.4%","87.2","0.8","2.2%","31.1%","0.4","16512"
"Victor Reyes","Tigers",".114",".340","1.61",".307","92","43.8%","69.4%","54.1%","64.8%","83.6%","74.4%","13.8%","36.9%","32.5%","30.6%","7.6%","65.6%","26.8%","90.0","10.7","3.8%","41.4%","0.8","15487"
"Nick Markakis","Braves",".138",".302","1.48",".307","89","28.3%","60.4%","42.9%","82.4%","94.0%","89.8%","4.4%","33.6%","37.4%","29.0%","22.4%","48.6%","29.0%","89.0","9.5","1.9%","42.1%","-0.4","5930"
"Leody Taveras","Rangers",".168",".319","1.17",".307","84","31.7%","68.0%","45.1%","64.8%","76.5%","71.3%","13.0%","41.6%","35.1%","23.4%","22.1%","45.5%","32.5%","88.9","14.3","6.5%","41.6%","0.2","18900"
"Kyle Schwarber","Cubs",".204",".219","1.47",".307","90","29.8%","62.6%","42.6%","63.8%","81.1%","73.7%","11.2%","49.6%","31.2%","19.2%","10.4%","48.8%","40.8%","92.8","8.8","11.2%","47.2%","0.4","16478"
"Justin Upton","Angels",".218",".219","0.94",".307","95","26.2%","66.6%","43.7%","51.5%","83.8%","72.8%","11.9%","46.7%","35.2%","18.1%","12.4%","45.7%","41.9%","91.7","18.6","8.6%","43.8%","0.0","5222"
"Austin Riley","Braves",".176",".280","1.21",".307","89","37.1%","79.6%","54.1%","57.0%","83.3%","72.5%","14.9%","41.7%","30.2%","28.1%","15.7%","50.7%","33.6%","91.0","13.6","10.0%","42.9%","-0.1","18360"
"Austin Barnes","Dodgers",".070",".323","1.17",".306","94","21.9%","72.2%","45.1%","71.7%","79.2%","77.3%","10.3%","43.1%","41.5%","15.4%","18.5%","47.7%","33.8%","86.9","16.2","1.5%","35.4%","0.9","12158"
"Brian Goodwin","- - -",".201",".291","0.76",".305","92","23.7%","59.8%","39.9%","50.6%","77.6%","68.8%","12.5%","50.0%","31.5%","18.5%","8.7%","57.6%","33.7%","89.9","20.7","10.9%","41.3%","0.1","12858"
"Adam Haseley","Phillies",".063",".349","2.83",".305","88","30.2%","61.9%","42.8%","73.1%","95.6%","86.1%","6.0%","27.3%","40.9%","31.8%","21.2%","54.5%","24.2%","87.1","0.0","1.5%","30.3%","0.1","19878"
"Adalberto Mondesi","Royals",".160",".350","1.25",".305","89","37.5%","78.0%","53.8%","47.9%","73.3%","62.7%","20.1%","45.0%","28.5%","26.5%","12.6%","51.0%","36.4%","90.6","13.7","7.3%","39.1%","1.4","13769"
"Kolten Wong","Cardinals",".061",".311","1.72",".305","92","27.3%","65.9%","42.9%","76.8%","90.7%","85.4%","6.2%","29.9%","37.7%","32.5%","14.9%","60.4%","24.7%","86.5","10.8","0.6%","26.6%","1.3","12532"
"Josh Reddick","Astros",".133",".294","0.88",".304","95","28.3%","69.9%","46.3%","64.2%","87.0%","79.1%","9.7%","40.8%","39.5%","19.7%","22.4%","49.7%","27.9%","85.9","18.9","4.7%","29.1%","-0.6","3892"
"Shogo Akiyama","Reds",".052",".314","2.54",".304","85","28.4%","61.2%","42.5%","71.4%","88.9%","82.2%","7.6%","26.4%","35.5%","38.0%","17.4%","57.9%","24.8%","85.1","2.9","0.8%","25.4%","0.5","27461"
"Keston Hiura","Brewers",".198",".273","1.14",".304","87","35.0%","72.1%","50.1%","47.1%","67.9%","59.3%","20.4%","38.8%","37.3%","23.9%","19.4%","51.5%","29.1%","87.4","14.3","14.2%","39.6%","0.2","20003"
"Tyler Flowers","Braves",".130",".412","0.83",".303","86","30.2%","65.5%","45.1%","42.1%","79.1%","64.9%","15.9%","40.0%","40.0%","20.0%","5.7%","51.4%","42.9%","93.0","16.2","8.6%","45.7%","0.4","9134"
"Rio Ruiz","Orioles",".205",".244","1.32",".303","88","31.8%","77.2%","52.0%","62.6%","82.7%","75.9%","12.6%","43.3%","30.5%","26.2%","19.1%","49.6%","31.2%","87.9","10.5","8.5%","39.0%","0.0","14103"
"J.P. Crawford","Mariners",".083",".303","1.35",".303","94","24.6%","60.9%","41.0%","70.6%","89.1%","83.0%","7.0%","37.7%","32.3%","29.9%","22.8%","47.9%","29.3%","85.8","11.4","1.8%","31.1%","1.1","15491"
"Cameron Maybin","- - -",".140",".328","2.11",".302","88","25.9%","71.7%","45.0%","41.7%","84.9%","70.4%","13.3%","50.0%","35.3%","14.7%","10.3%","55.9%","33.8%","87.8","8.9","5.9%","35.3%","0.2","5223"
"Tommy Edman","Cardinals",".118",".301","1.95",".302","90","29.2%","61.2%","42.5%","69.8%","90.2%","82.0%","7.6%","37.3%","40.5%","22.2%","20.9%","50.0%","29.1%","86.5","8.2","3.8%","33.5%","0.8","19470"
"Hanser Alberto","Orioles",".110",".314","1.42",".301","87","54.0%","73.1%","61.7%","80.3%","91.1%","85.5%","8.9%","45.6%","31.6%","22.8%","22.3%","56.5%","21.2%","82.3","13.2","1.0%","20.2%","0.6","11902"
